,artist,firstName,itemInSession,lastName,length,level,location,sessionId,song,userId
22,Asia 2001,Chloe,4,Cuevas,150.30812,paid,"San Francisco-Oakland-Hayward, CA",606,Epilogue,49
23,Muse,Chloe,5,Cuevas,228.93669,paid,"San Francisco-Oakland-Hayward, CA",606,Endlessly,49
24,Rise Against,Chloe,6,Cuevas,221.17832,paid,"San Francisco-Oakland-Hayward, CA",606,Torches,49
25,Modest Mouse,Mohammad,3,Rodriguez,259.47383,free,"Sacramento--Roseville--Arden-Arcade, CA",591,The Good Times Are Killing Me,88
26,Marc Anthony,Chloe,7,Cuevas,314.43546,paid,"San Francisco-Oakland-Hayward, CA",606,Te Conozco Bien,49
27,Regina Spektor,Chloe,8,Cuevas,191.08526,paid,"San Francisco-Oakland-Hayward, CA",606,The Calculation (Album Version),49
28,Nina Sky,Tegan,0,Levine,101.92934,paid,"Portland-South Portland, ME",611,Goodbye (Interlude),80
29,Five Iron Frenzy,Avery,0,Watkins,236.09424,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Canada,30
30,Kudai,Avery,2,Watkins,256.62649,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Ven,30
31,Pulp,Avery,3,Watkins,260.8322,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Do You Remember The First Time?,30
32,SinÃÂ©ad O'Connor,Avery,4,Watkins,282.51383,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,I Want Your (Hands On Me),30
33,Paul Brown,Tegan,3,Levine,232.54159,paid,"Portland-South Portland, ME",611,Chill Out,80
34,Lasgo,Avery,5,Watkins,220.13342,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Something (Radio Edit),30
35,Patty Loveless,Tegan,4,Levine,188.13342,paid,"Portland-South Portland, ME",611,What's A Broken Heart,80
36,Eddie Vedder,Avery,6,Watkins,236.30322,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Society,30
37,Rogue Wave,Tegan,5,Levine,234.13506,paid,"Portland-South Portland, ME",611,Christians In Black,80
38,Muse,Avery,7,Watkins,304.84853,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Uprising,30
39,Amanda Blank,Tegan,6,Levine,175.09832,paid,"Portland-South Portland, ME",611,Might Like You Better,80
40,The Smiths,Avery,8,Watkins,162.24608,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Sheila Take A Bow,30
41,Old 97's,Tegan,7,Levine,231.28771,paid,"Portland-South Portland, ME",611,Victoria (LP Version),80
42,Selena,Avery,9,Watkins,316.42077,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Dreaming Of You,30
43,Fat Joe,Tegan,8,Levine,267.10159,paid,"Portland-South Portland, ME",611,What's Luv? (Featuring Ja-Rule & Ashanti) (Explicit Album Version),80
44,Stars,Avery,10,Watkins,193.33179,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Soft Revolution,30
45,James Blunt,Tegan,9,Levine,298.4224,paid,"Portland-South Portland, ME",611,Same Mistake  (Album Version),80
46,Mayday Parade,Avery,11,Watkins,203.28444,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Bruised And Scarred (Album Version),30
47,Die Mooskirchner,Tegan,10,Levine,169.29914,paid,"Portland-South Portland, ME",611,Frisch und g'sund,80
48,Gorillaz,Avery,12,Watkins,211.77424,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Rockit,30
49,Toby Keith,Tegan,12,Levine,208.48281,paid,"Portland-South Portland, ME",611,Should've Been A Cowboy,80
50,Modest Mouse,Avery,13,Watkins,284.18567,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Little Motel,30
51,Future Rock,Tegan,13,Levine,239.90812,paid,"Portland-South Portland, ME",611,Gears,80
52,Noel Pointer,Avery,14,Watkins,259.7873,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Superwoman (Where Were You When I Needed You) (Digitally Remastered),30
53,Callenish Circle,Tegan,14,Levine,226.11546,paid,"Portland-South Portland, ME",611,Forgotten,80
54,Foo Fighters,Rylan,0,George,250.14812,paid,"Birmingham-Hoover, AL",575,Everlong,16
55,Portishead,Avery,15,Watkins,238.73261,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Hunter,30
56,Taylor Swift,Tegan,15,Levine,245.36771,paid,"Portland-South Portland, ME",611,The Way I Loved You,80
57,J-Live,Rylan,1,George,256.93995,paid,"Birmingham-Hoover, AL",575,Longevity,16
58,The White Stripes,Avery,16,Watkins,110.47138,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Fell In Love With A Girl,30
59,Dwight Yoakam,Tegan,16,Levine,239.3073,paid,"Portland-South Portland, ME",611,You're The One,80
60,The Black Keys,Avery,17,Watkins,238.99383,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Lies,30
61,Five,Rylan,2,George,207.62077,paid,"Birmingham-Hoover, AL",575,Got The Feelin',16
62,Ra,Tegan,17,Levine,319.9473,paid,"Portland-South Portland, ME",611,Do You Call My Name,80
63,Coolio feat. L.V.,Rylan,4,George,241.57995,paid,"Birmingham-Hoover, AL",575,Gangsta's Paradise (LP Version),16
64,Paramore,Avery,18,Watkins,211.51302,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Misery Business (Album Version),30
65,Leggo Beast,Avery,19,Watkins,321.93261,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Itchy Feet,30
66,Nneka,Rylan,5,George,226.79465,paid,"Birmingham-Hoover, AL",575,Gypsy,16
67,Diam's,Tegan,18,Levine,250.72281,paid,"Portland-South Portland, ME",611,Dans Ma Bulle (Edit Radio - Live 2006),80
68,Haley Bonar,Rylan,6,George,149.26322,paid,"Birmingham-Hoover, AL",575,Give It Up,16
69,Mansun,Tegan,19,Levine,140.53832,paid,"Portland-South Portland, ME",611,Love Remains (Home Demo),80
70,3 Doors Down,Avery,20,Watkins,237.13914,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Here Without You,30
71,The Corrs,Rylan,7,George,168.07138,paid,"Birmingham-Hoover, AL",575,Toss The Feathers (Instrumental) ( LP Version ),16
72,Big Tymers,Tegan,20,Levine,197.79873,paid,"Portland-South Portland, ME",611,Big,80
73,Thursday,Avery,21,Watkins,215.37914,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,I Am The Killer (Album Version),30
74,Motion City Soundtrack,Rylan,8,George,111.49016,paid,"Birmingham-Hoover, AL",575,Don't Call It A Comeback (Album Version),16
75,Usher,Tegan,21,Levine,224.10404,paid,"Portland-South Portland, ME",611,Hey Daddy (Daddy's Home),80
76,Juanes,Rylan,10,George,233.40363,paid,"Birmingham-Hoover, AL",575,No Siento Penas,16
77,The Wombats,Avery,22,Watkins,164.70159,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Kill The Director [Radio Edit],30
78,Katy Perry,Tegan,22,Levine,179.40853,paid,"Portland-South Portland, ME",611,I Kissed A Girl,80
79,As I Lay Dying,Rylan,11,George,231.78404,paid,"Birmingham-Hoover, AL",575,The Darkest Nights,16
80,BjÃÂ¶rk,Avery,23,Watkins,348.57751,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Undo,30
81,The Bobby Fuller Four,Tegan,23,Levine,138.60526,paid,"Portland-South Portland, ME",611,I Fought The Law (LP Version),80
82,Charly GarcÃÂ­a,Rylan,12,George,330.89261,paid,"Birmingham-Hoover, AL",575,Influencia,16
83,New Bomb Turks,Tegan,24,Levine,60.55138,paid,"Portland-South Portland, ME",611,Too Much,80
84,The Black Keys,Tegan,25,Levine,196.91057,paid,"Portland-South Portland, ME",611,All Hands Against His Own,80
85,PeterLicht,Avery,24,Watkins,305.97179,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Blaues Blau,30
86,John Mayer,Tegan,26,Levine,359.23546,paid,"Portland-South Portland, ME",611,Friends_ Lovers Or Nothing,80
87,Stone Temple Pilots,Rylan,13,George,255.32036,paid,"Birmingham-Hoover, AL",575,A Song For Sleeping (LP Version),16
88,Bad Lieutenant,Avery,25,Watkins,266.84036,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Head Into Tomorrow,30
89,Lily Allen,Rylan,14,George,192.49587,paid,"Birmingham-Hoover, AL",575,Smile Version Revisited (Mark Ronson Remix) (Explicit),16
90,Neil Halstead,Tegan,27,Levine,294.29506,paid,"Portland-South Portland, ME",611,A Gentle Heart,80
91,Juanes,Avery,26,Watkins,222.37995,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Un DÃÂ­a Normal,30
92,Distance,Rylan,15,George,300.87791,paid,"Birmingham-Hoover, AL",575,Ska,16
93,Slipknot,Avery,27,Watkins,253.98812,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,The Heretic Anthem (Album Version),30
94,Franz Ferdinand,Tegan,28,Levine,137.56036,paid,"Portland-South Portland, ME",611,Tell Her Tonight,80
95,Jedi Mind Tricks,Rylan,16,George,232.88118,paid,"Birmingham-Hoover, AL",575,Suicide,16
96,Miles Davis,Tegan,29,Levine,285.20444,paid,"Portland-South Portland, ME",611,Stella By Starlight,80
97,B.o.B,Avery,28,Watkins,269.63546,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Nothin' On You [feat. Bruno Mars] (Album Version),30
98,The Avett Brothers,Rylan,17,George,300.85179,paid,"Birmingham-Hoover, AL",575,I And Love And You,16
99,Joshua Bell / Paul Coker,Tegan,30,Levine,275.93098,paid,"Portland-South Portland, ME",611,Caprice viennois op.2,80
100,Bad Brains,Avery,29,Watkins,32.31302,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Joshua's Song (1991 Digital Remaster),30
101,Shakira ft. Wyclef Jean,Avery,30,Watkins,215.90159,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Hips Don't Lie,30
102,Band Of Horses,Rylan,18,George,321.14893,paid,"Birmingham-Hoover, AL",575,The Funeral (Album Version),16
103,Alesana,Tegan,31,Levine,185.33832,paid,"Portland-South Portland, ME",611,Ambrosia,80
104,Samy Deluxe,Avery,31,Watkins,236.77342,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Einfach Ich,30
105,Corona,Tegan,32,Levine,408.60689,paid,"Portland-South Portland, ME",611,Higher Messiah,80
106,The Presets,Avery,32,Watkins,267.54567,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,If I Know You,30
107,Pixies,Avery,33,Watkins,98.92526,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,In Heaven,30
108,Existone,Tegan,33,Levine,652.30322,paid,"Portland-South Portland, ME",611,Wounded Soul,80
109,John Mayer,Avery,34,Watkins,258.16771,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Bold As Love,30
110,Zakir Hussain,Avery,35,Watkins,722.442,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,The Great ndian Desert,30
111,Jag Panzer,Tegan,34,Levine,200.38485,paid,"Portland-South Portland, ME",611,Face Of Fear,80
112,Two Door Cinema Club,Tegan,35,Levine,189.67465,paid,"Portland-South Portland, ME",611,What You Know,80
113,Little Anthony & The Imperials,Tegan,36,Levine,127.42485,paid,"Portland-South Portland, ME",611,Hurt,80
114,AndrÃÂ©s Cepeda,Avery,36,Watkins,211.80036,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Me Lleva Tiempo,30
115,Herb Alpert And The Tijuana Brass,Tegan,37,Levine,132.80608,paid,"Portland-South Portland, ME",611,So What's New,80
116,Ozma,Avery,37,Watkins,144.53506,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Flight Of Yuri Gagarin,30
117,Ozric Tentacles,Tegan,38,Levine,461.21751,paid,"Portland-South Portland, ME",611,Mooncalf,80
118,Evanescence,Avery,38,Watkins,263.78404,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,My Immortal (Album Version),30
119,Weezer,Avery,39,Watkins,232.85506,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Velouria,30
120,Flying Lotus,Jahiem,0,Miles,115.33016,free,"San Antonio-New Braunfels, TX",369,Bad Actors,43
121,Ben Folds,Tegan,39,Levine,250.87955,paid,"Portland-South Portland, ME",611,Bitches Ain't Shit,80
122,matchbox twenty,Avery,40,Watkins,229.14567,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Unwell (Album Version),30
123,Deftones,Tegan,40,Levine,189.75302,paid,"Portland-South Portland, ME",611,Feiticeira (LP Version),80
124,Silverchair,Avery,41,Watkins,319.13751,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Without You (Album Version),30
125,Muse,Tegan,41,Levine,258.06322,paid,"Portland-South Portland, ME",611,Map Of The Problematique,80
126,Zen CafÃÂ©,Avery,42,Watkins,259.02975,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Kotona kaikuu,30
127,Mariah Carey / Twista,Tegan,42,Levine,194.7424,paid,"Portland-South Portland, ME",611,One And Only,80
128,Strike Anywhere,Avery,43,Watkins,120.00608,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Gunpowder,30
129,Tri Sestry,Avery,44,Watkins,97.72363,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Had Stupid,30
130,Don Williams,Avery,45,Watkins,191.03302,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,If Hollywood Don't Need You,30
131,The Nerves,Avery,46,Watkins,92.86485,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Are You Famous?,30
132,Ulf Wakenius,Avery,47,Watkins,324.15302,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Good Morning Susie Soho,30
133,The Kooks,Avery,48,Watkins,168.72444,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,She Moves In Her Own Way,30
134,New Radicals,Avery,49,Watkins,300.82567,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,You Get What You Give,30
135,Wolfmother,Avery,50,Watkins,333.7922,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Where Eagles Have Been,30
136,The Shins,Avery,51,Watkins,225.61914,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Spilt Needles (Album),30
137,Nickel Creek,Avery,52,Watkins,248.58077,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Reasons Why,30
138,Pigeon John,Avery,53,Watkins,180.00934,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Crazy,30
139,Eels,Avery,54,Watkins,211.48689,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Love Of The Loveless,30
140,Harmonia,Avery,55,Watkins,655.77751,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Sehr kosmisch,30
141,Marina And The Diamonds,Avery,56,Watkins,182.59546,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Oh No! (album version),30
142,Eminem,Avery,57,Watkins,284.86485,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,The Real Slim Shady,30
143,Hassisen Kone,Avery,58,Watkins,162.61179,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,REIPPAINA KÃÂYMME REKKAIN ALLE,30
144,Dwight Yoakam,Avery,59,Watkins,239.3073,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,You're The One,30
145,Sunlounger,Avery,60,Watkins,594.15465,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,White Sand,30
146,Youssou N'Dour,Avery,61,Watkins,238.39302,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Tan bi (Heat_ Breeze_ Tenderness) / Chaleur_ brise_ tendress,30
147,The Decemberists,Avery,62,Watkins,209.08363,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Red Right Ankle,30
148,The Ruts,Avery,63,Watkins,185.75628,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Savage Circle,30
149,Adrian Legg,Avery,64,Watkins,122.77506,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,The One-Eyed Turk,30
150,Bedrock,Avery,66,Watkins,664.0322,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Set In Stone,30
151,Prince & The Revolution,Kate,0,Harrell,280.00608,paid,"Lansing-East Lansing, MI",605,Let's Go Crazy (LP Version),97
152,The Zombies,Kate,1,Harrell,157.33506,paid,"Lansing-East Lansing, MI",605,She's Coming Home,97
153,Portishead,Kate,2,Harrell,238.0273,paid,"Lansing-East Lansing, MI",605,Numb,97
154,Jack Johnson,Avery,67,Watkins,212.68853,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Breakdown,30
155,Justice,Kate,3,Harrell,205.50485,paid,"Lansing-East Lansing, MI",605,Let There Be Lite (Album Version),97
156,Snow Patrol,Avery,68,Watkins,223.18975,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Set Down Your Glass,30
157,Lemon Jelly,Kate,4,Harrell,238.47138,paid,"Lansing-East Lansing, MI",605,Nice Weather For Ducks,97
158,The Lucksmiths,Avery,69,Watkins,153.70404,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Tale Of Two Cities,30
159,Ben Kweller,Kate,5,Harrell,188.60363,paid,"Lansing-East Lansing, MI",605,Magic,97
160,Fedde le Grand Pres. Flamingo,Avery,70,Watkins,396.32934,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Take No Shhh (Original Mix),30
161,Rodrigo y Gabriela,Kate,6,Harrell,233.40363,paid,"Lansing-East Lansing, MI",605,VIKING MAN,97
162,Black Eyed Peas,Kate,7,Harrell,289.12281,paid,"Lansing-East Lansing, MI",605,I Gotta Feeling,97
163,Five Iron Frenzy,Avery,71,Watkins,236.09424,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Canada,30
164,Creedence Clearwater Revival,Ava,0,Robinson,164.57098,free,"New Haven-Milford, CT",598,Down On The Corner,50
165,Kings Of Leon,Ava,1,Robinson,186.69669,free,"New Haven-Milford, CT",598,Camaro,50
166,Fireflight,Avery,72,Watkins,201.16853,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Unbreakable,30
167,Steppenwolf,Kate,8,Harrell,208.14322,paid,"Lansing-East Lansing, MI",605,Born To Be Wild,97
168,New Found Glory,Ava,2,Robinson,222.69342,free,"New Haven-Milford, CT",598,the king of wishful thinking,50
169,The Pussycat Dolls,Avery,73,Watkins,221.1522,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Elevator,30
170,Eric Clapton,Kate,9,Harrell,208.48281,paid,"Lansing-East Lansing, MI",605,Willie And The Hand Jive,97
171,Josh Groban,Devin,1,Larson,260.70159,free,"Tampa-St. Petersburg-Clearwater, FL",531,Little Drummer Boy [featuring guitarist Andy McKee] (Album Version),60
172,The Dresden Dolls,Avery,74,Watkins,286.40608,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Coin-Operated Boy,30
173,Pixies,Kate,10,Harrell,229.3024,paid,"Lansing-East Lansing, MI",605,Where Is My Mind?,97
174,Creedence Clearwater Revival,Devin,2,Larson,271.882,free,"Tampa-St. Petersburg-Clearwater, FL",531,I Put A Spell On You,60
175,The Smiths,Kate,11,Harrell,123.01016,paid,"Lansing-East Lansing, MI",605,Girlfriend In A Coma,97
176,Danger Doom,Avery,75,Watkins,187.27138,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,No Names (Black Debbie) (Album Version),30
177,Taylor Swift,Kate,12,Harrell,233.89995,paid,"Lansing-East Lansing, MI",605,Love Story,97
178,Vilma Palma e Vampiros,Avery,76,Watkins,281.99138,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,La pachanga,30
179,Busta Rhymes feat. Pharrell,Kate,13,Harrell,220.47302,paid,"Lansing-East Lansing, MI",605,Light Your Ass On Fire,97
180,Little People,Avery,77,Watkins,230.1122,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Above The Clouds,30
181,Dwight Yoakam,Kate,14,Harrell,239.3073,paid,"Lansing-East Lansing, MI",605,You're The One,97
182,Amy Winehouse,Avery,78,Watkins,164.85832,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,He Can Only Hold Her,30
183,Ernie K-Doe,Kate,15,Harrell,160.96608,paid,"Lansing-East Lansing, MI",605,Te-Ta-Te-Ta-Ta (2002 Digital Remaster),97
184,Alesana,Avery,79,Watkins,242.49424,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Congratulations_ I Hate You,30
185,Dwight Yoakam,Kate,16,Harrell,239.3073,paid,"Lansing-East Lansing, MI",605,You're The One,97
186,Gazpacho,Avery,80,Watkins,253.51791,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Premonicion,30
187,Black Lips,Kate,17,Harrell,162.76853,paid,"Lansing-East Lansing, MI",605,Lock and Key,97
188,Kanye West,Kate,18,Harrell,311.84934,paid,"Lansing-East Lansing, MI",605,Stronger,97
189,Arcade Fire,Avery,81,Watkins,136.69832,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Neon Bible,30
190,Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner,Avery,82,Watkins,277.15873,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile),30
191,Fanfarlo,Kate,19,Harrell,270.78485,paid,"Lansing-East Lansing, MI",605,I'm a Pilot,97
192,Crystal Castles,Avery,83,Watkins,251.08853,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Empathy,30
193,Zeca Baleiro,Kate,20,Harrell,452.8322,paid,"Lansing-East Lansing, MI",605,Brigitte Bardot,97
194,Angus & Julia Stone,Avery,86,Watkins,236.95628,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Just A Boy,30
195,Julian Casablancas,Avery,87,Watkins,302.47138,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,4 Chords of the Apocalypse,30
196,Fat Joe,Kate,21,Harrell,241.34485,paid,"Lansing-East Lansing, MI",605,Safe 2 Say [The Incredible] (Album Version - Amended),97
197,Usher Featuring Lil' Jon & Ludacris,Avery,88,Watkins,250.38322,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Yeah!,30
198,Pat Benatar,Kate,22,Harrell,290.37669,paid,"Lansing-East Lansing, MI",605,Don't Walk Away,97
199,Fergie,Avery,89,Watkins,248.39791,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Losing My Ground,30
200,Muse,Kate,23,Harrell,209.50159,paid,"Lansing-East Lansing, MI",605,Supermassive Black Hole (Twilight Soundtrack Version),97
201,Two Door Cinema Club,Avery,90,Watkins,168.09751,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Undercover Martyn,30
202,Spineshank,Kate,24,Harrell,167.26159,paid,"Lansing-East Lansing, MI",605,Intake (Album Version),97
203,Whitney Houston Duet With Mariah Carey,Avery,91,Watkins,273.34485,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,When You Believe,30
204,Death Cab for Cutie,Kate,25,Harrell,488.64608,paid,"Lansing-East Lansing, MI",605,Transatlanticism,97
205,Noir DÃÂ©sir,Avery,92,Watkins,374.77832,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Ces Gens LÃÂ ,30
206,Paramore,Kate,26,Harrell,243.51302,paid,"Lansing-East Lansing, MI",605,Emergency (Album Version),97
207,My Chemical Romance,Avery,93,Watkins,188.05506,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Cemetery Drive (Album Version),30
208,Vincent Vincent And The Villains,Kate,27,Harrell,154.64444,paid,"Lansing-East Lansing, MI",605,On My Own,97
209,Phoenix,Avery,94,Watkins,229.79873,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Run Run Run,30
210,Beastie Boys,Kate,28,Harrell,193.54077,paid,"Lansing-East Lansing, MI",605,Skills To Pay The Bills,97
211,Natasha Bedingfield,Lily,0,Burns,216.65914,free,"New York-Newark-Jersey City, NY-NJ-PA",554,These Words,32
212,Calle 13,Avery,95,Watkins,239.3073,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,AtrÃÂ©vete te te,30
213,Sondre Lerche,Kate,29,Harrell,215.71873,paid,"Lansing-East Lansing, MI",605,Modern Nature,97
214,Cecilia,Lily,1,Burns,157.77914,free,"New York-Newark-Jersey City, NY-NJ-PA",554,Ultimo Baile,32
215,Air,Avery,96,Watkins,258.58567,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Mayfair Song,30
216,Five Iron Frenzy,Kate,30,Harrell,236.09424,paid,"Lansing-East Lansing, MI",605,Canada,97
217,Kings Of Convenience,Lily,2,Burns,245.02812,free,"New York-Newark-Jersey City, NY-NJ-PA",554,Riot On An Empty Street,32
218,Rhonda Vincent,Avery,97,Watkins,142.78485,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,You're In My Heart,30
219,Soulwax,Kate,31,Harrell,277.002,paid,"Lansing-East Lansing, MI",605,E Talking,97
220,Red,Lily,3,Burns,227.52608,free,"New York-Newark-Jersey City, NY-NJ-PA",554,Mystery of You,32
221,Sugababes,Avery,98,Watkins,275.93098,paid,"San Jose-Sunnyvale-Santa Clara, CA",324,Overload,30
222,Eminem / Dr. Dre,Lily,4,Burns,309.83791,free,"New York-Newark-Jersey City, NY-NJ-PA",554,Say What You Say,32
